annee;jourDebut;jourFin;parcelle;couvert;itk;evaporation[mm];transpiration[mm];percolation[mm];capilarite[mm];ruissellement[mm];Hr_debut[mm];Hm_debut[mm];Hr_fin[mm];Hm_fin[mm];Hr_1erJanv[mm];Hm_1erJanv[mm];satisfactionHydrique[%];pluie[mm];irrigation[mm];sommeDegresJourCulture[°C]
2027;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;155.2;281.44;55.52;7.0;0.0;40.57;300.65;164.43;309.87;55.17;308.65;92.95;295.87;210.0;1798.07
2027;315;365;sudouest_prairie_41_1;solnu;;17.31;0.0;85.37;0.34;0.0;164.43;310.4;56.44;309.93;55.17;308.65;0.0;113.31;0.0;0.0
2028;1;138;sudouest_prairie_41_1;solnu;;129.06;0.0;115.71;13.45;0.0;310.4;248.32;47.12;300.6;56.91;310.4;0.0;225.62;0.0;0.0
2028;139;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;165.45;266.13;35.52;7.35;0.0;46.79;300.65;155.78;291.54;56.91;310.4;85.34;233.1;225.0;1949.52
2028;315;366;sudouest_prairie_41_1;solnu;;25.41;0.0;69.75;1.61;0.0;155.78;310.4;56.18;309.67;56.91;310.4;0.0;115.86;0.0;0.0
2029;1;150;sudouest_prairie_41_1;solnu;;185.99;0.0;135.27;13.61;0.0;310.4;248.32;34.95;288.44;56.91;310.4;0.0;296.76;0.0;0.0
2029;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;151.79;271.15;68.41;6.44;0.0;33.32;300.65;155.8;307.37;56.91;310.4;97.94;302.03;210.0;1734.24
2029;315;365;sudouest_prairie_41_1;solnu;;19.02;0.0;101.04;0.56;0.0;155.8;310.4;56.01;309.49;56.91;310.4;0.0;120.97;0.0;0.0
2030;1;150;sudouest_prairie_41_1;solnu;;158.69;0.0;70.82;14.48;0.0;309.91;248.32;22.65;276.14;56.43;309.91;0.0;199.46;0.0;0.0
2030;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;147.19;249.13;124.24;6.14;0.12;25.88;300.65;157.67;310.31;56.43;309.91;93.88;340.91;210.0;1721.0
2030;315;365;sudouest_prairie_41_1;solnu;;21.2;0.0;114.72;1.09;0.0;157.67;310.4;56.59;310.07;56.43;309.91;0.0;135.67;0.0;0.0
